cycle,stateabrev,newplan,EG,seats,url,districts
2008,WV,,0.029,3,,
2008,WY,,-0.397,1,,
2010,AK,,-0.114,1,,
2010,AL,,-0.137,7,,
2010,AR,,-0.094,4,,
2010,AZ,,-0.008,8,,
2010,CA,,0.022,53,,
2010,CO,,-0.022,7,,
2010,CT,,0.313,5,,
2010,DE,,0.339,1,,
2010,FL,,-0.074,25,,
2010,GA,,0.029,13,,
2010,HI,,0.226,2,,
2010,IA,,0.209,5,,
2010,ID,,-0.228,2,,
2010,IL,,-0.122,19,,
2010,IN,,0.011,9,,
2010,KS,,-0.181,4,,
2010,KY,,0.084,6,,
2010,LA,,-0.027,7,,
2010,MA,,0.278,10,,
2010,MD,,0.008,8,,
2010,ME,,0.380,2,,
2010,MI,,-0.017,15,,
2010,MN,,0.026,8,,
2010,MO,,-0.011,9,,
2010,MS,,-0.151,4,,
2010,MT,,-0.218,1,,
2010,NC,,0.128,13,,
2010,ND,,-0.402,1,,
2010,NE,,-0.091,3,,
2010,NH,,-0.431,2,,
2010,NJ,,0.053,13,,
2010,NM,,0.135,3,,
2010,NV,,-0.108,3,,
2010,NY,,0.051,29,,
2010,OH,,-0.102,18,,
2010,OK,,0.035,5,,
2010,OR,,0.245,5,,
2010,PA,,-0.083,19,,
2010,RI,,0.312,2,,
2010,SC,,-0.174,6,,
2010,SD,,-0.476,1,,
2010,TN,,-0.001,9,,
2010,TX,,0.047,32,,
2010,UT,,0.117,3,,
2010,VA,,-0.133,11,,
2010,VT,,0.163,1,,
2010,WA,,0.026,9,,
2010,WI,,-0.017,8,,
2010,WV,,-0.059,3,,
2010,WY,,-0.016,1,,
2012,AK,yes,-0.118,1,,
2012,AL,yes,-0.148,7,,
2012,AR,yes,-0.261,4,,
2012,AZ,yes,0.147,9,,
2012,CA,yes,0.010,53,,
2012,CO,yes,-0.100,7,,
2012,CT,yes,0.180,5,,
2012,DE,yes,0.183,1,,
2012,FL,yes,-0.105,27,,
2012,GA,yes,-0.069,14,,
2012,HI,yes,0.151,2,,
2012,IA,yes,-0.031,4,,
2012,ID,yes,-0.177,2,,
2012,IL,yes,0.058,18,,
2012,IN,yes,-0.194,9,,
2012,KS,yes,-0.220,4,,
2012,KY,yes,-0.133,6,,
2012,LA,yes,-0.131,6,,
2012,MA,yes,0.135,9,,
2012,MD,yes,0.066,8,,
2012,ME,yes,0.267,2,,
2012,MI,yes,-0.197,14,,
2012,MN,yes,0.013,8,,
2012,MO,yes,-0.117,8,,
2012,MS,yes,-0.135,4,,
2012,MT,yes,-0.390,1,,
2012,NC,yes,-0.211,13,,
2012,ND,yes,-0.363,1,,
2012,NE,yes,-0.215,3,,
2012,NH,yes,0.455,2,,
2012,NJ,yes,-0.112,12,,
2012,NM,yes,0.064,3,,
2012,NV,yes,0.004,4,,
2012,NY,yes,-0.023,27,,
2012,OH,yes,-0.223,16,,
2012,OK,yes,-0.148,5,,
2012,OR,yes,0.151,5,,
2012,PA,yes,-0.237,18,,
2012,RI,yes,0.321,2,,
2012,SC,yes,-0.228,7,,
2012,SD,yes,-0.351,1,,
2012,TN,yes,-0.057,9,,
2012,TX,yes,-0.006,36,,
2012,UT,yes,0.083,4,,
2012,VA,yes,-0.208,11,,
2012,VT,yes,-0.011,1,,
2012,WA,yes,0.011,10,,
2012,WI,yes,-0.140,8,,
2012,WV,yes,0.032,3,,
2012,WY,yes,-0.014,1,,
2014,AK,,-0.391,1,,
2014,AL,,-0.091,7,,
2014,AR,,-0.272,4,,
2014,AZ,,0.075,9,,
2014,CA,,0.097,53,,
2014,CO,,-0.038,7,,
2014,CT,,0.281,5,,
2014,DE,,0.266,1,,
2014,FL,,-0.038,27,,
2014,GA,,-0.090,14,,
2014,HI,,0.176,2,,
2014,IA,,-0.172,4,,
2014,ID,,-0.236,2,,
2014,IL,,0.027,18,,
2014,IN,,-0.056,9,,
2014,KS,,-0.231,4,,
2014,KY,,-0.062,6,,
2014,LA,,-0.001,6,,
2014,MA,,0.203,9,,
2014,MD,,0.212,8,,
2014,ME,,-0.145,2,,
2014,MI,,-0.160,14,,
2014,MN,,0.114,8,,
2014,MO,,-0.010,8,,
2014,MS,,-0.051,4,,
2014,MT,,-0.343,1,,
2014,NC,,-0.196,13,,
2014,ND,,-0.319,1,,
2014,NE,,0.129,3,,
2014,NH,,-0.031,2,,
2014,NJ,,-0.026,12,,
2014,NM,,0.107,3,,
2014,NV,,-0.066,4,,
2014,NY,,0.039,27,,
2014,OH,,-0.082,16,,
2014,OK,,-0.057,5,,
2014,OR,,0.157,5,,
2014,PA,,-0.151,18,,
2014,RI,,0.278,2,,
2014,SC,,-0.173,7,,
2014,SD,,-0.169,1,,
2014,TN,,0.005,9,,
2014,TX,,0.056,36,,
2014,UT,,-0.187,4,,
2014,VA,,-0.129,11,,
2014,VT,,0.150,1,,
2014,WA,,0.015,10,,
2014,WI,,-0.069,8,,
2014,WV,,-0.358,3,,
2014,WY,,-0.001,1,,
2016,AK,,-0.334,1,,
2016,AL,,-0.097,7,,
2016,AR,,-0.140,4,,
2016,AZ,,0.029,9,,
2016,CA,,-0.012,53,,
2016,CO,,-0.062,7,,
2016,CT,,0.221,5,,
2016,DE,,0.349,1,,
2016,FL,yes,-0.029,27,,
2016,GA,,-0.100,14,,
2016,HI,,-0.074,2,,
2016,IA,,-0.191,4,,
2016,ID,,-0.137,2,,
2016,IL,,0.018,18,,
2016,IN,,-0.072,9,,
2016,KS,,-0.218,4,,
2016,KY,,-0.032,6,,
2016,LA,,0.031,6,,
2016,MA,,0.084,9,,
2016,MD,,0.116,8,,
2016,ME,,-0.039,2,,
2016,MI,,-0.132,14,,
2016,MN,,0.089,8,,
2016,MO,,-0.038,8,,
2016,MS,,-0.035,4,,
2016,MT,,-0.338,1,,
2016,NC,yes,-0.203,13,,
2016,ND,,-0.011,1,,
2016,NE,,-0.205,3,,
2016,NH,,0.469,2,,
2016,NJ,,0.001,12,,
2016,NM,,0.046,3,,
2016,NV,,0.240,4,,
2016,NY,,-0.063,27,,
2016,OH,,-0.087,16,,
2016,OK,,-0.079,5,,
2016,OR,,0.177,5,,
2016,PA,,-0.189,18,,
2016,RI,,0.198,2,,
2016,SC,,-0.154,7,,
2016,SD,,-0.218,1,,
2016,TN,,0.017,9,,
2016,TX,,-0.038,36,,
2016,UT,,-0.168,4,,
2016,VA,yes,-0.106,11,,
2016,VT,,0.058,1,,
2016,WA,,-0.013,10,,
2016,WI,,-0.057,8,,
2016,WV,,-0.171,3,,
2016,WY,,-0.152,1,,
2018,AK,,-0.434,1,,
2018,AL,,-0.155,7,,
2018,AR,,-0.220,4,,
2018,AZ,,0.048,9,,
2018,CA,,0.057,53,,
2018,CO,,-0.037,7,,
2018,CT,,0.253,5,,
2018,DE,,0.211,1,,
2018,FL,,-0.014,27,,
2018,GA,,-0.112,14,,
2018,HI,,-0.034,2,,
2018,IA,,0.209,4,,
2018,ID,,-0.221,2,,
2018,IL,,0.000,18,,
2018,IN,,-0.168,9,,
2018,KS,,-0.154,4,,
2018,KY,,-0.125,6,,
2018,LA,,-0.097,6,,
2018,MA,,0.114,9,,
2018,MD,,0.037,8,,
2018,ME,,0.348,2,,
2018,MI,,-0.074,14,,
2018,MN,,0.015,8,,
2018,MO,,-0.122,8,,
2018,MS,,-0.084,4,,
2018,MT,,-0.452,1,,
2018,NC,,-0.279,13,,
2018,ND,,-0.178,1,,
2018,NE,,-0.259,3,,
2018,NH,,0.389,2,,
2018,NJ,,0.201,12,,
2018,NM,,0.292,3,,
2018,NV,,0.195,4,,
2018,NY,,-0.036,27,,
2018,OH,,-0.202,16,,
2018,OK,,-0.039,5,,
2018,OR,,0.097,5,,
2018,PA,yes,-0.080,18,,
2018,RI,,0.197,2,,
2018,SC,,-0.114,7,,
2018,SD,,-0.248,1,,
2018,TN,,-0.074,9,,
2018,TX,,-0.080,36,,
2018,UT,,-0.005,4,,
2018,VA,,0.027,11,,
2018,VT,,0.045,1,,
2018,WA,,0.002,10,,
2018,WI,,-0.174,8,,
2018,WV,,-0.321,3,,
2018,WY,,-0.138,1,,
2020,AK,,-0.408,1,,
2020,AL,,-0.101,7,,
2020,AR,,-0.176,4,,
2020,AZ,,0.058,9,,
2020,CA,,0.018,53,,
2020,CO,,-0.027,7,,
2020,CT,,0.283,5,,
2020,DE,,0.322,1,,
2020,FL,,-0.050,27,,
2020,GA,,-0.052,14,,
2020,HI,,0.109,2,,
2020,IA,,-0.190,4,,
2020,ID,,-0.126,2,,
2020,IL,,0.083,18,,
2020,IN,,-0.092,9,,
2020,KS,,-0.086,4,,
2020,KY,,-0.034,6,,
2020,LA,,-0.071,6,,
2020,MA,,0.142,9,,
2020,MD,,0.074,8,,
2020,ME,,0.341,2,,
2020,MI,,-0.013,14,,
2020,MN,,-0.026,8,,
2020,MO,,-0.059,8,,
2020,MS,,-0.044,4,,
2020,MT,,-0.372,1,,
2020,NC,yes,-0.088,13,,
2020,ND,,-0.071,1,,
2020,NE,,-0.216,3,,
2020,NH,,0.422,2,,
2020,NJ,,0.174,12,,
2020,NM,,0.069,3,,
2020,NV,,0.226,4,,
2020,NY,,-0.042,27,,
2020,OH,,-0.110,16,,
2020,OK,,-0.126,5,,
2020,OR,,0.159,5,,
2020,PA,,0.013,18,,
2020,RI,,0.261,2,,
2020,SC,,-0.222,7,,
2020,SD,,-0.170,1,,
2020,TN,,-0.025,9,,
2020,TX,,-0.044,36,,
2020,UT,,-0.234,4,,
2020,VA,,0.060,11,,
2020,VT,,0.073,1,,
2020,WA,,0.059,10,,
2020,WI,,-0.096,8,,
2020,WV,,-0.149,3,,
2020,WY,,-0.028,1,,
2022,AK,yes,0.401,1,,
2022,AL,yes,-0.006,7,,
2022,AR,yes,-0.125,4,,
2022,AZ,yes,-0.088,9,,
2022,CA,yes,0.051,52,,
2022,CO,yes,-0.005,8,,
2022,CT,yes,0.344,5,,
2022,DE,yes,0.373,1,,
2022,FL,yes,-0.055,28,,
2022,GA,yes,-0.097,14,,
2022,HI,yes,0.127,2,,
2022,IA,yes,-0.374,4,,
2022,ID,yes,-0.128,2,,
2022,IL,yes,0.212,17,,
2022,IN,yes,-0.063,9,,
2022,KS,yes,-0.105,4,,
2022,KY,yes,-0.013,6,,
2022,LA,yes,-0.026,6,,
2022,MA,yes,0.168,9,,
2022,MD,yes,0.072,8,,
2022,ME,yes,0.334,2,,
2022,MI,yes,0.015,13,,
2022,MN,yes,-0.020,8,,
2022,MO,yes,-0.037,8,,
2022,MS,yes,0.038,4,,
2022,MT,yes,-0.286,2,,
2022,NC,yes,0.043,14,,
2022,ND,yes,-0.081,1,,
2022,NE,yes,-0.225,3,,
2022,NH,yes,0.401,2,,
2022,NJ,yes,0.153,12,,
2022,NM,yes,0.399,3,,
2022,NV,yes,0.285,4,,
2022,NY,yes,-0.032,26,,
2022,OH,yes,-0.037,15,,
2022,OK,yes,-0.139,5,,
2022,OR,yes,0.080,6,,
2022,PA,yes,0.049,17,,
2022,RI,yes,0.353,2,,
2022,SC,yes,-0.149,7,,
2022,SD,yes,-0.138,1,,
2022,TN,yes,-0.081,9,,
2022,TX,yes,-0.022,38,,
2022,UT,yes,-0.175,4,,
2022,VA,yes,0.009,11,,
2022,VT,yes,0.115,1,,
2022,WA,yes,0.138,10,,
2022,WI,yes,-0.228,8,,
2022,WV,yes,-0.148,2,,
2022,WY,yes,-0.027,1,,
2024,AK,,-0.476,1,,
2024,AL,yes,0.098,7,,
2024,AR,,-0.139,4,,
2024,AZ,,-0.127,9,,
2024,CA,,0.120,52,,
2024,CO,,-0.121,8,,
2024,CT,,0.314,5,,
2024,DE,,0.343,1,,
2024,FL,,-0.072,28,,
2024,GA,yes,-0.091,14,,
2024,HI,,0.095,2,,
2024,IA,,-0.370,4,,
2024,ID,,-0.093,2,,
2024,IL,,0.205,17,,
2024,IN,,-0.074,9,,
2024,KS,,-0.074,4,,
2024,KY,,0.008,6,,
2024,LA,,0.098,6,,
2024,MA,yes,0.175,9,,
2024,MD,,0.081,8,,
2024,ME,,0.380,2,,
2024,MI,,-0.026,13,,
2024,MN,,-0.009,8,,
2024,MO,,-0.044,8,,
2024,MS,,0.002,4,,
2024,MT,,-0.308,2,,
2024,NC,yes,-0.174,14,,
2024,ND,,-0.110,1,,
2024,NE,,-0.228,3,,
2024,NH,,0.430,2,,
2024,NJ,,0.177,12,,
2024,NM,,0.399,3,,
2024,NV,,0.261,4,,
2024,NY,yes,0.083,26,,
2024,OH,,-0.035,15,,
2024,OK,,-0.118,5,,
2024,OR,,0.217,6,,
2024,PA,,-0.054,17,,
2024,RI,,0.262,2,,
2024,SC,,-0.148,7,,
2024,SD,,-0.059,1,,
2024,TN,,-0.072,9,,
2024,TX,,-0.002,38,,
2024,UT,,-0.182,4,,
2024,VA,,0.007,11,,
2024,VT,,0.147,1,,
2024,WA,,0.133,10,,
2024,WI,,-0.220,8,,
2024,WV,,-0.076,2,,
2024,WY,,0.005,1,,
2026,AK,,-0.476,1,,
2026,AL,,0.077,7,https://planscore.org/plan.html?20260124T214418.999801909Z,"[[0.0,0.247,330457],[0.986,0.569,286775],[0.0,0.261,312922],[0.0,0.169,320563],[0.0,0.343,347243],[0.0,0.296,344949],[1.0,0.643,292118]]"
2026,AR,,-0.139,4,,
2026,AZ,,-0.127,9,,
2026,CA,yes,0.136,52,https://planscore.org/plan.html?20251109T005753.161170853Z,"[[0.909,0.552,330569],[0.999,0.618,377001],[0.852,0.542,353947],[0.943,0.564,333683],[0.001,0.379,353485],[0.767,0.531,325393],[0.908,0.555,335783],[1.0,0.668,302537],[0.887,0.55,259943],[1.0,0.668,365086],[1.0,0.853,346331],[1.0,0.89,303004],[0.403,0.489,202292],[1.0,0.673,274182],[1.0,0.742,294820],[1.0,0.747,328010],[1.0,0.698,252833],[1.0,0.638,230009],[1.0,0.673,363205],[0.0,0.318,308245],[0.673,0.519,196372],[0.274,0.475,166568],[0.004,0.387,269436],[0.999,0.621,340520],[0.694,0.52,264046],[0.963,0.571,333582],[0.828,0.538,286981],[1.0,0.623,316016],[1.0,0.669,231623],[1.0,0.704,329716],[0.888,0.554,283088],[1.0,0.624,349405],[0.843,0.54,241058],[1.0,0.763,204823],[0.755,0.53,252500],[1.0,0.695,373019],[1.0,0.808,227897],[0.904,0.553,252922],[0.84,0.539,227908],[0.036,0.422,369563],[0.943,0.562,301451],[0.936,0.56,338649],[1.0,0.75,216225],[1.0,0.677,212795],[0.562,0.507,291837],[0.954,0.573,220370],[0.86,0.542,344461],[0.552,0.507,320207],[0.893,0.553,376006],[0.987,0.587,360452],[0.982,0.585,345233],[0.976,0.581,265500]]"
2026,CO,,-0.121,8,,
2026,CT,,0.314,5,,
2026,DE,,0.343,1,,
2026,FL,,-0.072,28,,
2026,GA,,-0.091,14,,
2026,HI,,0.095,2,,
2026,IA,,-0.370,4,,
2026,ID,,-0.093,2,,
2026,IL,,0.205,17,,
2026,IN,,-0.074,9,,
2026,KS,,-0.074,4,,
2026,KY,,0.008,6,,
2026,LA,,0.098,6,,
2026,MA,,0.175,9,,
2026,MD,,0.081,8,,
2026,ME,,0.380,2,,
2026,MI,,-0.026,13,,
2026,MN,,-0.009,8,,
2026,MO,yes,-0.161,8,https://planscore.org/plan.html?20251116T014919.269577678Z,"[[1.0,0.8,310718],[0.048,0.433,415798],[0.004,0.389,400723],[0.001,0.381,391097],[0.005,0.399,327699],[0.0,0.353,371821],[0.0,0.269,370939],[0.0,0.209,363791]]"
2026,MS,yes,0.007,4,https://planscore.org/plan.html?20251228T184417.650378800Z,"[[0.0,0.283,319751],[1.0,0.644,283691],[0.0,0.324,320273],[0.0,0.255,290696]]"
2026,MT,,-0.308,2,,
2026,NC,yes,-0.227,14,https://planscore.org/plan.html?20251220T215350.341663516Z,"[[0.244,0.477,412424],[1.0,0.685,403685],[0.012,0.423,342337],[1.0,0.737,427800],[0.003,0.406,403093],[0.008,0.408,385622],[0.009,0.424,437996],[0.001,0.397,404040],[0.005,0.412,377628],[0.004,0.405,410898],[0.051,0.443,433922],[1.0,0.741,346755],[0.007,0.409,419635],[0.01,0.416,403525]]"
2026,ND,,-0.110,1,,
2026,NE,,-0.228,3,,
2026,NH,,0.430,2,,
2026,NJ,,0.177,12,,
2026,NM,,0.399,3,,
2026,NV,,0.261,4,,
2026,NY,,0.083,26,,
2026,OH,yes,-0.15,15,https://planscore.org/plan.html?20251030T231915.464256903Z,"[[0.213,0.469,393485],[0.0,0.248,373151],[1.0,0.709,354655],[0.0,0.245,392876],[0.0,0.353,383974],[0.0,0.29,362582],[0.025,0.422,422478],[0.006,0.395,398786],[0.036,0.426,377567],[0.066,0.441,375479],[1.0,0.791,318228],[0.0,0.317,406615],[0.506,0.502,386792],[0.001,0.369,410013],[0.03,0.426,357133]]"
2026,OK,,-0.118,5,,
2026,OR,,0.217,6,,
2026,PA,,-0.054,17,,
2026,RI,,0.262,2,,
2026,SC,,-0.148,7,,
2026,SD,,-0.059,1,,
2026,TN,,-0.072,9,,
2026,TX,yes,-0.131,38,https://planscore.org/plan.html?20251219T184700.037794076Z,"[[0.0,0.231,322789],[0.0,0.374,324879],[0.0,0.363,360471],[0.0,0.358,359800],[0.0,0.376,289675],[0.0,0.367,305093],[1.0,0.647,243178],[0.0,0.371,307201],[0.009,0.423,206561],[0.0,0.385,348072],[0.0,0.308,288718],[0.0,0.363,310418],[0.0,0.245,300574],[0.0,0.339,319160],[0.001,0.395,225827],[0.999,0.603,228701],[0.0,0.377,315012],[1.0,0.8,256659],[0.0,0.234,279570],[1.0,0.667,223891],[0.002,0.389,409493],[0.001,0.395,335361],[0.005,0.408,312690],[0.003,0.404,366050],[0.0,0.363,305656],[0.0,0.363,382101],[0.001,0.375,319985],[0.157,0.465,197404],[1.0,0.679,177312],[1.0,0.75,240014],[0.0,0.37,346093],[0.007,0.412,316848],[1.0,0.69,204530],[0.153,0.466,238229],[0.057,0.447,298179],[0.0,0.313,297228],[1.0,0.813,320120],[0.001,0.395,344997]]"
2026,UT,yes,-0.022,4,https://planscore.org/plan.html?20260110T175512.890920068Z,"[[0.944,0.559,317805],[0.0,0.35,356976],[0.0,0.3,376228],[0.0,0.336,393802]]"
2026,VA,,0.007,11,,
2026,VT,,0.147,1,,
2026,WA,,0.133,10,,
2026,WI,,-0.220,8,,
2026,WV,,-0.144,2,https://planscore.org/plan.html?20260202T175701.036896894Z,"[[0.0,0.312,357892],[0.0,0.331,389969]]"
2026,WY,,0.005,1,,
